Product_Name,Category,Brand,Price,Rating,Tags,Description,Image
iPhone14,Mobile,Apple,79999,4.7,Apple smartphone with A15 chip,,iphone14.jpg
iPhone15,Mobile,Apple,89999,4.8,Latest Apple smartphone,,iphone15.jpg
Samsung Galaxy S23,Mobile,Samsung,69999,4.6,Android flagship smartphone,,samsung_s23.jpg
Samsung Galaxy S24,Mobile,Samsung,79999,4.7,Premium Android smartphone,,samsung_s24.jpg
Redmi Note 13,Mobile,Xiaomi,19999,4.3,Budget Android smartphone,,redmi_note13.jpg
Redmi Note 14,Mobile,Xiaomi,22999,4.5,Advanced Redmi smartphone,,redmi_note14.jpg
OnePlus 12,Mobile,OnePlus,64999,4.6,High performance smartphone,,oneplus12.jpg
Realme GT,Mobile,Realme,34999,4.3,Gaming smartphone,,realmeGT.jpg

Dell Inspiron Laptop,Laptop,Dell,55000,4.4,Performance laptop for students,,dell_inspiron_laptop.jpg
Dell Vostro Laptop,Laptop,Dell,60000,4.3,Business laptop,,dell_vostro_laptop.jpg
HP Pavilion Laptop,Laptop,HP,60000,4.5,Powerful laptop for office work,,hp_pavilion_laptop.jpg
HP Victus Laptop,Laptop,HP,75000,4.6,Gaming laptop,,hp_victus_laptop.jpg
Lenovo IdeaPad,Laptop,Lenovo,52000,4.4,Student laptop,,lenovo ideapad.jpg
Lenovo ThinkPad,Laptop,Lenovo,85000,4.7,Business laptop,,Lenovo ThinkPad.jpg
Asus VivoBook,Laptop,Asus,50000,4.3,Lightweight laptop,,asus_vivobook.jpg
Asus ROG Laptop,Laptop,Asus,95000,4.8,Gaming laptop,,asus_ROG.jpg

Sony Bravia TV,TV,Sony,65000,4.6,55 inch smart television,,sonybravia.jpg
TVSony OLED,TV,Sony,120000,4.9,Premium OLED television,,sonyOLED.jpg
Samsung Smart TV,TV,Samsung,55000,4.4,4K smart television,,samsungsmartTV.jpg
Samsung QLED TV,TV,Samsung,85000,4.7,QLED smart television,,samsungQLEDTV.jpg
LG Smart TV,TV,LG,50000,4.3,4K smart TV,,smartLGTV.jpg
LG OLED TV,TV,LG,110000,4.8,Premium OLED television,,smartOLEDTV.jpg

LG Refrigerator,Fridge,LG,25000,4.4,Double door refrigerator,,LGrefrigerator.jpg
LG Smart Refrigerator,Fridge,LG,45000,4.6,Smart refrigerator,,LGsmartrefrigerator.jpg
Whirlpool Refrigerator,Fridge,Whirlpool,22000,4.3,Energy efficient refrigerator,,whirlpoolrefrigerator.jpg
Samsung Refrigerator,Fridge,Samsung,28000,4.5,Frost free refrigerator,,samsungrefrigerator.jpg

Floral Kurti,Women Clothing,Biba,999,4.2,Cotton floral kurti,,floralkurti.jpg
Designer Kurti,Women Clothing,W,1499,4.4,Party wear kurti,,designerkurti.jpg
Printed Kurti,Women Clothing,Libas,1299,4.3,Stylish printed kurti,,printedkurti.jpg
Anarkali Kurti,Women Clothing,Biba,1999,4.5,Traditional anarkali kurti,,anarkalikurti.jpg

Men Casual Shirt,Men Clothing,Peter England,1299,4.4,Cotton casual shirt,,mencasualshirt.jpg
Formal Shirt,Men Clothing,Van Heusen,1799,4.5,Office wear shirt,,formalshirt.jpg
Men T Shirt,Men Clothing,US Polo,999,4.3,Casual t shirt,,menTshirt.jpg
Men Jeans,Men Clothing,Levis,2499,4.6,Blue denim jeans,,menjeans.jpg

Kids T Shirt,Kids Clothing,Max,499,4.2,Comfortable kids t shirt,,kidsTshirt.jpg
Kids Dress,Kids Clothing,Hopscotch,899,4.3,Cute kids dresses,,kidsdress.jpg

Titan Watch,Watch,Titan,2999,4.5,Stylish analog watch,,titanwatch.jpg
Fastrack Watch,Watch,Fastrack,1999,4.3,Trendy watch,,fastrackwatch.jpg
Casio Watch,Watch,Casio,3499,4.6,Digital watch,,casiowatch.jpg

Boat Headphones,Headphones,Boat,1999,4.4,Wireless Bluetooth headphones,,boatheadphones.jpg
JBL Headphones,Headphones,JBL,2999,4.6,Premium audio headphones,,JBLheadphones.jpg
Sony Headphones,Headphones,Sony,3999,4.8,Noise cancellation headphones,,sonyheadphones.jpg
Samsung Galaxy A55,Mobile,Samsung,42999,4.5,Mid range Samsung smartphone,,samsungA55.jpg
Samsung Galaxy M35,Mobile,Samsung,24999,4.4,Affordable Samsung smartphone,,samsungM35.jpg
OnePlus Nord 4,Mobile,OnePlus,32999,4.5,Premium mid range smartphone,,oneplusnord4.jpg
OnePlus Nord CE 4,Mobile,OnePlus,27999,4.4,Value smartphone with fast charging,,oneplusnordCE4.jpg
Nothing Phone 2,Mobile,Nothing,44999,4.6,Unique design Android smartphone,,nothingphone2.jpg
Nothing Phone 2a,Mobile,Nothing,25999,4.5,Affordable Nothing smartphone,,nothingphone2a.jpg
Vivo V30,Mobile,Vivo,33999,4.4,Camera focused smartphone,,vivov30.jpg
Oppo Reno 12,Mobile,Oppo,37999,4.4,Stylish Android smartphone,,opporeno12.jpg
Motorola Edge 50,Mobile,Motorola,31999,4.5,Near stock Android smartphone,,motorolaedge50.jpg
iQOO Neo 9 Pro,Mobile,iQOO,36999,4.6,Performance gaming smartphone,,iQOO9.jpg
Poco X6 Pro,Mobile,Poco,28999,4.5,Powerful value smartphone,,pocoX6Pro.jpg
Google Pixel 8,Mobile,Google,65999,4.8,Premium Android smartphone with AI features,,googlePixel8.jpg

Acer Aspire 5,Laptop,Acer,52000,4.4,Everyday performance laptop,,AcerAspire5.jpg
Acer Nitro 5,Laptop,Acer,78000,4.6,Gaming laptop,,AcerNitro5.jpg
MSI Thin 15,Laptop,MSI,72000,4.5,Gaming laptop with dedicated graphics,,MSIThin15.jpg
MSI Katana 15,Laptop,MSI,98000,4.7,High performance gaming laptop,,MSIKatana15.jpg
Dell XPS 13,Laptop,Dell,115000,4.8,Premium ultrabook laptop,,dellXPS13.jpg
HP Envy Laptop,Laptop,HP,88000,4.7,Premium productivity laptop,,HPenvy.jpg
Lenovo Legion 5,Laptop,Lenovo,95000,4.8,Gaming laptop,,lenovolegion5.jpg
